DATE,DAY,DESCRIPTION
26-Jan-2022,Wednesday,Republic Day
01-Mar-2022,Tuesday,Mahashivratri
18-Mar-2022,Friday,Holi
14-Apr-2022,Thursday,Dr.Baba Saheb Ambedkar Jayanti/Mahavir Jayanti
15-Apr-2022,Friday,Good Friday
03-May-2022,Tuesday,Id-Ul-Fitr (Ramzan ID)
09-Aug-2022,Tuesday,Moharram
15-Aug-2022,Monday,Independence Day
31-Aug-2022,Wednesday,Ganesh Chaturthi
05-Oct-2022,Wednesday,Dussehra
24-Oct-2022,Monday,Diwali * Laxmi Pujan
26-Oct-2022,Wednesday,Diwali-Balipratipada
08-Nov-2022,Tuesday,Gurunanak Jayanti
